employee_id,employee_name,gender,usia,rentang_usia,lama_bekerja_tahun,level_jabatan,department_name,kpi_category,avg_kpi_value,jumlah_evaluasi,jumlah_proyek,kpi_target,persen_tercapai,cluster
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Attendance,95.98,8,6,90.0,106.64444444444445,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Development,91.97833333333334,6,6,75.0,120.0,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Efficiency,94.286,5,5,80.0,117.8575,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Finance,90.7125,4,3,82.0,110.625,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,HR,95.502,20,8,88.0,108.52499999999999,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Innovation,92.51875,8,6,72.0,120.0,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Performance,93.87833333333333,6,5,80.0,117.34791666666665,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Project,91.5175,4,3,78.0,117.3301282051282,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Quality,92.27066666666666,15,8,85.0,108.55372549019607,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Teamwork,94.425,8,5,83.0,113.76506024096386,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Technical,93.671,10,7,82.0,114.2329268292683,0
1,Hendra Pratama,M,38,30-40,9,Manager,Operations,Time Management,92.67375,8,8,80.0,115.8421875,0
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Attendance,71.30285714285715,7,5,90.0,79.22539682539683,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Development,64.79142857142857,7,6,75.0,86.38857142857142,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Efficiency,69.45857142857143,7,5,80.0,86.82321428571429,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Finance,68.256,5,4,82.0,83.23902439024391,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,HR,68.83749999999999,12,7,88.0,78.22443181818181,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Innovation,64.768,5,4,72.0,89.95555555555556,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Performance,69.02636363636363,11,8,80.0,86.28295454545454,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Project,70.19142857142857,7,6,78.0,89.98901098901099,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Quality,66.22428571428571,21,5,85.0,77.9109243697479,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Teamwork,72.32833333333333,6,4,83.0,87.14257028112449,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Technical,69.48,10,5,82.0,84.73170731707317,1
2,Nanda Nugroho,M,28,20-30,2,Staff,IT,Time Management,68.71857142857142,7,6,80.0,85.89821428571427,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Attendance,69.94888888888889,9,6,90.0,77.72098765432098,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Development,60.29571428571428,7,5,75.0,80.39428571428572,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Efficiency,66.58250000000001,4,4,80.0,83.228125,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Finance,58.64,5,5,82.0,71.51219512195122,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,HR,64.25071428571428,14,6,88.0,73.01217532467533,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Innovation,61.512857142857136,7,6,72.0,85.4345238095238,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Performance,62.163333333333334,6,5,80.0,77.70416666666667,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Project,65.02499999999999,6,5,78.0,83.3653846153846,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Quality,61.7536,25,8,85.0,72.65129411764705,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Teamwork,65.7375,4,4,83.0,79.20180722891567,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Technical,62.701666666666675,6,6,82.0,76.46544715447156,1
3,Laura Setiawan,M,22,20-30,4,Staff,Procurement,Time Management,63.14833333333333,6,5,80.0,78.93541666666667,1
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Attendance,96.63571428571429,7,5,90.0,107.37301587301589,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Development,90.66000000000001,6,5,75.0,120.0,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Efficiency,93.9975,8,7,80.0,117.496875,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Finance,92.989,10,7,82.0,113.40121951219511,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,HR,94.24249999999999,20,7,88.0,107.09375,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Innovation,91.63777777777779,9,5,72.0,120.0,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Performance,92.09,5,4,80.0,115.1125,0
4,Dina Rahayu,M,37,30-40,8,Manager,Operations,Project,92.23,7,6,78.0,118.24358974358974,0
